Substance,EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CO2,BRB,Barbados,0.374861977,0.402602405,0.447786226,0.40713478,0.376098506,0.368228058,0.354849975,0.370276676,0.378089233,0.409438059,0.389988904,0.396440152,0.392130568,0.442043459,0.440136161,0.413363622,0.380005159,0.353767859,0.395916531,0.427351555,0.445975562,0.537956939,0.537879031,0.564366931,0.500236205,0.500698924,0.491614037,0.381740465,0.432895221,0.430165114,0.415850246,0.454979037
CO2,BRN,Brunei,0.181401738,0.195074273,0.196032289,0.203670733,0.211825816,0.218311912,0.222554592,0.251540564,0.215320254,0.205442779,0.212597292,0.206413602,0.195246523,0.225843356,0.207602115,0.20310725,0.289413421,0.273993418,0.307901954,0.311663305,0.278681863,0.27504869,0.271270267,0.273637104,0.27423822,0.248792178,0.278080215,0.287490097,0.297731873,0.273029056,0.264635478,0.269197734
CO2,BTN,Bhutan,0.119571401,0.122683734,0.117230195,0.116862389,0.13776083,0.170324521,0.176830736,0.193378244,0.200968899,0.216368678,0.175401334,0.17374097,0.168933609,0.161550229,0.155116709,0.155809956,0.147671255,0.127323953,0.130218875,0.16784271,0.164730071,0.185872124,0.16904565,0.16979572,0.163033311,0.176911015,0.177377393,0.181467284,0.198903776,0.209226382,0.218097593,0.251995396
CO2,BWA,Botswana,0.260628492,0.239906977,0.283570292,0.274439475,0.253970032,0.246832318,0.210309316,0.207268273,0.245522196,0.235899826,0.239642113,0.231709121,0.228282797,0.21324445,0.208904279,0.214407032,0.188888175,0.183505367,0.175217391,0.179944391,0.134518739,0.148664105,0.122636747,0.172464491,0.212614632,0.224316224,0.200032043,0.212330813,0.203492558,0.19523053,0.194392722,0.182223403
CO2,CAF,Central African Republic,0.058820813,0.074148217,0.066602154,0.072124842,0.072165079,0.069236254,0.077711556,0.075684227,0.073666211,0.072975804,0.079168721,0.078228218,0.075430767,0.075232622,0.070160638,0.068755009,0.068758912,0.065527249,0.048587026,0.043322539,0.042548543,0.041057758,0.039398875,0.042490019,0.045597043,0.061038077,0.06145638,0.063143514,0.062459707,0.062704754,0.057032929,0.060371176
CO2,CAN,Canada,0.493839333,0.49738063,0.507134623,0.492585988,0.489640344,0.489735606,0.495624775,0.499140406,0.492638531,0.482596483,0.477533839,0.463284544,0.463991169,0.462703369,0.439701046,0.426331067,0.403934361,0.399313451,0.381694209,0.370678659,0.370080987,0.366825711,0.358998443,0.356352376,0.350042593,0.345766361,0.341675725,0.337632423,0.335272985,0.329107325,0.313017238,0.307590754
CO2,CHE,Switzerland and Liechtenstein,0.118859381,0.126152384,0.126046873,0.119980699,0.115992493,0.117534164,0.118382419,0.112483403,0.112764291,0.111474091,0.105303207,0.106978769,0.103215714,0.10626966,0.104559897,0.102976605,0.098084252,0.090382284,0.090662723,0.089811452,0.090249054,0.080783028,0.082266429,0.082684233,0.074413809,0.071634379,0.071145675,0.068370219,0.064380643,0.063409227,0.057639437,0.056960507
CO2,CHL,Chile,0.255053829,0.225510252,0.210539518,0.208977636,0.21717851,0.218314752,0.234899975,0.248969158,0.241026245,0.253144541,0.225756128,0.210373245,0.205717126,0.20385178,0.206390247,0.197667527,0.189988826,0.203068151,0.205941034,0.199277144,0.199673281,0.205178213,0.198660047,0.202139834,0.183349387,0.192287204,0.199099895,0.19814058,0.189941998,0.198964328,0.187946801,0.172759423
CO2,CHN,China,1.50065879,1.450537453,1.336129472,1.270988769,1.194024824,1.185358602,1.069479839,1.001619569,0.950781195,0.865884533,0.849731893,0.821409398,0.811828493,0.855889231,0.896932173,0.911364893,0.898052979,0.856891064,0.80342076,0.790321657,0.78202726,0.779986667,0.746555529,0.712313592,0.670322355,0.618953306,0.580488123,0.55497138,0.541669186,0.523330498,0.51956513,0.501433715
CO2,CIV,Côte d’Ivoire,0.05948471,0.06131316,0.061263533,0.06508402,0.067450689,0.068801047,0.079655023,0.088262895,0.082106785,0.108117793,0.103628472,0.106311289,0.115633372,0.096192406,0.096227626,0.101811607,0.097174295,0.096267162,0.10238057,0.091667144,0.0971841,0.100633127,0.11885712,0.11512213,0.113227153,0.113087615,0.107135737,0.107828877,0.099765873,0.100188665,0.099823854,0.099431664
CO2,CMR,Cameroon,0.12083497,0.119782186,0.118901968,0.140959854,0.149535302,0.145519514,0.143189353,0.137956447,0.137082327,0.126333491,0.130549103,0.124524258,0.117531579,0.113690084,0.104406537,0.099354774,0.096588098,0.109072759,0.111796512,0.118388736,0.117284563,0.108054022,0.104867759,0.110579094,0.113635876,0.111293291,0.113349711,0.111288903,0.112282065,0.107851285,0.100755556,0.101296282
CO2,COD,Democratic Republic of the Congo,0.054648762,0.03415283,0.033041104,0.036956315,0.059779646,0.055532069,0.061853496,0.06573559,0.066593696,0.064400966,0.05562727,0.055376061,0.056401265,0.064224794,0.057646786,0.06067345,0.059200732,0.061335699,0.059240611,0.055968389,0.054602243,0.058122586,0.048711964,0.061837817,0.072139757,0.043952902,0.033445027,0.037208509,0.034295865,0.035339368,0.033246267,0.032878599
CO2,COG,Congo,0.201203383,0.200476141,0.190672621,0.190211414,0.184358213,0.22535943,0.259947121,0.269506856,0.308810228,0.328272957,0.330089847,0.309982962,0.193236411,0.238529155,0.234001294,0.259609265,0.267436692,0.253466741,0.247812782,0.246213103,0.241099394,0.216324252,0.181670682,0.222500955,0.202418953,0.227739063,0.249507581,0.256958441,0.31604016,0.354722873,0.386294734,0.395772703
CO2,COK,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2,COL,Colombia,0.190592637,0.192775071,0.192294156,0.193038294,0.18110957,0.180156286,0.174268015,0.182863165,0.184852905,0.168436997,0.171696245,0.167943561,0.157473784,0.150293184,0.142992953,0.140278812,0.128946632,0.124205423,0.121083651,0.124634295,0.122539861,0.123517853,0.119574869,0.12541193,0.123160613,0.121182783,0.123000171,0.110607636,0.113024511,0.113746991,0.10711459,0.102896193
CO2,COM,Comoros,0.037744684,0.046018384,0.037356403,0.035438167,0.037427271,0.037139594,0.038729305,0.038216959,0.04767255,0.048071182,0.06691406,0.068178938,0.067299467,0.085071118,0.091453544,0.086305159,0.099075817,0.064935807,0.062211334,0.074250556,0.084804536,0.067868646,0.067385473,0.076914395,0.066396603,0.071712443,0.079737258,0.102075108,0.106405688,0.114143461,0.100379855,0.104732393
CO2,CPV,Cabo Verde,0.10974711,0.129641235,0.120132544,0.107838693,0.106291802,0.093268496,0.099399445,0.091737791,0.083123969,0.076767003,0.182872911,0.200809876,0.207195824,0.198740618,0.19720465,0.28818623,0.287252146,0.281315228,0.255564197,0.25047638,0.263991943,0.271833801,0.228906642,0.220852301,0.230939193,0.230206631,0.22516137,0.238706575,0.227548133,0.218189053,0.25215515,0.254631856
CO2,CRI,Costa Rica,0.094555495,0.100265238,0.123303115,0.11575312,0.128869049,0.123815842,0.116757539,0.108286182,0.112600044,0.107525752,0.102837267,0.10744356,0.105791086,0.109307928,0.106296573,0.104670653,0.107129016,0.109269719,0.103344822,0.100511374,0.094484397,0.09493753,0.090345887,0.091548688,0.089659602,0.083452886,0.085496164,0.083926035,0.083222878,0.080025041,0.071410868,0.0740487
CO2,CUB,Cuba,0.387010963,0.32657605,0.286727334,0.301049533,0.301985698,0.306376098,0.302101775,0.316158548,0.299198594,0.292798849,0.273791813,0.249706735,0.231471952,0.212383815,0.191914942,0.172815691,0.152608942,0.143228517,0.13070231,0.129007355,0.13029295,0.122204078,0.121239694,0.116634869,0.104883059,0.108770472,0.099585424,0.092972914,0.090137873,0.082923087,0.06682423,0.075340803
CO2,CYM,Cayman Islands,0.131894234,0.141606036,0.161941056,0.126192779,0.156383668,0.152365364,0.153841387,0.128515824,0.118485617,0.12853699,0.154569777,0.160914479,0.181019386,0.205243185,0.211067263,0.172002626,0.156420264,0.171538654,0.174170479,0.191311545,0.20620932,0.244352252,0.239180447,0.233638769,0.234382979,0.23088472,0.221237984,0.178850317,0.169290595,0.195615209,0.171143423,0.184137656
CO2,CYP,Cyprus,0.305472836,0.341262523,0.328669213,0.33741285,0.329713598,0.298248484,0.310196029,0.306433753,0.311392182,0.307721895,0.304656332,0.287578129,0.284572903,0.307080745,0.288895384,0.281843247,0.270906554,0.269515744,0.266293028,0.26408248,0.249795817,0.23879808,0.229730294,0.225023984,0.242761138,0.233772598,0.233451011,0.224858006,0.208411311,0.198164592,0.184860575,0.183845229
CO2,CZE,Czechia,0.668586937,0.682857543,0.657701955,0.64661469,0.602657007,0.568096902,0.549812511,0.540617471,0.518885621,0.482867824,0.509122963,0.494887139,0.467993262,0.467064614,0.449825088,0.409444506,0.387135579,0.374096712,0.349398659,0.342818747,0.3387564,0.325011574,0.317950207,0.304171355,0.288682686,0.277580769,0.276195782,0.263594186,0.252519098,0.233708819,0.224224137,0.229450647
CO2,DEU,Germany,0.349579755,0.325440534,0.30219882,0.302378114,0.29175031,0.285802017,0.291869228,0.277021667,0.269660165,0.254862874,0.248898093,0.249060508,0.245012855,0.247373822,0.240022915,0.232729734,0.228006108,0.213527422,0.212755903,0.209064513,0.212869537,0.198217915,0.200460953,0.204046753,0.190003798,0.188707536,0.185543415,0.177325545,0.169934825,0.156569769,0.147109552,0.15133374
CO2,DJI,Djibouti,0.579969642,0.734851892,0.508546377,0.408286538,0.572258233,0.490087229,0.578934899,0.559832856,0.573502143,0.55617428,0.315457569,0.320572778,0.32786437,0.317245713,0.300400042,0.272533006,0.223283241,0.219825614,0.211585137,0.254432948,0.315573486,0.200791587,0.237311628,0.240236996,0.225295842,0.190943591,0.159204343,0.1407468,0.14055793,0.125671364,0.110729761,0.112622771
CO2,DMA,Dominica,0.104405195,0.108645622,0.112158578,0.133498381,0.173478269,0.194069575,0.198843322,0.184622202,0.151858777,0.202467772,0.244981262,0.255830562,0.288668999,0.472035198,0.470957937,0.460137577,0.459884418,0.468878695,0.418109403,0.435018451,0.443751777,0.489226221,0.499654098,0.464410235,0.482600324,0.488739308,0.488198216,0.24160413,0.259416759,0.237874634,0.236968533,0.24691632
CO2,DNK,Denmark,0.266813768,0.315404491,0.281683942,0.292236115,0.296507244,0.274251193,0.324337808,0.273302632,0.249876104,0.230968559,0.206807496,0.21086743,0.20828018,0.227630996,0.201052924,0.184195674,0.20456736,0.186209853,0.176185489,0.177152935,0.174316339,0.15427883,0.13695036,0.141918804,0.126970661,0.117049978,0.116908566,0.1068856,0.104954138,0.092325895,0.079760141,0.080050346
CO2,DOM,Dominican Republic,0.181793007,0.18860134,0.19676568,0.181043868,0.206177352,0.207390672,0.210881474,0.220119809,0.235789689,0.241290064,0.240785813,0.236792587,0.248639167,0.22523619,0.203731486,0.201110039,0.200998809,0.189385508,0.182855203,0.173492126,0.168394875,0.165643471,0.166973363,0.156254455,0.147329262,0.151509447,0.147897535,0.135401031,0.1362348,0.139682576,0.135764407,0.133891533
CO2,DZA,Algeria,0.301841346,0.323987724,0.353119232,0.361843934,0.353598202,0.351982348,0.333457179,0.323369975,0.30828077,0.311126093,0.309678666,0.294916969,0.294607487,0.295249815,0.282035089,0.283169055,0.292045619,0.289545865,0.295673016,0.299950295,0.29552762,0.302777361,0.327491011,0.328272082,0.339494377,0.347502182,0.332539024,0.335120266,0.353674054,0.358675671,0.358889379,0.353877549
CO2,ECU,Ecuador,0.207263806,0.199108715,0.205341532,0.196384075,0.197457928,0.211913543,0.239999065,0.239606759,0.22783305,0.2116365,0.212769482,0.22537634,0.216518169,0.215433061,0.210083565,0.215287854,0.22051352,0.219998537,0.214137943,0.23182583,0.241358475,0.225787184,0.214730774,0.217631787,0.220807651,0.219328518,0.21543672,0.203836931,0.209058293,0.205826355,0.186823566,0.216666975
